학과명
기타(소속학과없음)
신학과
경영학과
도시건축공학과
문예창작학과
복지서비스경영학과
사회복지학과
상담학과
아동보육학과
행정학과
중국어문화학과
중국통상 문화학과
컴퓨터공학과
피아노전공
호텔관광 유통경영학과
호텔관광경영학과
교육학과 상담심리전공
스마트시스템소프트웨어공학과
시각디자인학과
시각조형디자인학과
실내디자인학과
실용음악전공
에이블아트 스포츠학과
웨슬리창의융합대학
유통경영학과
음악학부
미주통상 문화학과
보건관리학과
산업디자인학과
생명과학과
생활공간디자인학과
성악 작곡과
성악전공
세무회계학과
소프트웨어공학과
관현악전공
글로벌통상 문화학과
금융 세무학과
금융보험학과
기악과
도시개발 행정학과
도시공학과
도시행정학과
미디어영상광고학과
목회학과
목회학과(문학석사)
신학과(교육학박사)
신학과(신학박사)
신학과(신학석사)
신학과(철학박사)
가구디자인학과
건축공학과
기독교사회복지학과
성경과교회학과
교역학과
심리치료학과
예체능학과
음악학과
신학부
실용음악학과
심리상담학
심리상담학과
심리상담학부
아동복지학과
예술학부(음악학전공)
운동처방재활학과
음악학부 실용음악학전공
음악학부 음악 교회음악학전공
인문사회과학부
NGO정책학과
화공산업공학전공(위탁교육)
NGO학과
간호학과
교양교육원
교양학과
기타모집단위
디아코니아학
미술심리상담학
사회복지학부
신기술혁신경영학과
호텔관광과
호텔관광학과
간호학과(4년제)
국가산단특성화계열
식품영양학과
유아교육과
자율복합선택계열
치위생과
치위생학과
컴퓨터정보과
컴퓨터정보학과
통상중국어과
패션디자인과
패션디자인학과
항공과
항공관광과
항공관광학과
행정실무과
의상디자인학과
인터넷정보과
인테리어디자인과
인테리어디자인학과
일본어통번역과
일본어통번역학과
전산정보처리과
전자계산과
정보경영과
정보처리전공
중국어과
아동복지과(3년제)
영상디자인과
영상콘텐츠과
영어과
영어학과
외식산업과
유아교육학과
의상디자인과
실무일본어과
실무일본어학과
실무중국어과
실무중국어학과
실용미술과
실용미술학과
실용음악과
실용음악과(3년제)
아동보육과
아동보육복지과
아동보육복지학과
아동복지과
소프트웨어융합학과
스마트F&B과
스마트IT과
스포츠건강관리과
시각디자인전공
시각미디어디자인과
시각미디어디자인학과
식품영양과
실무영어과
실무영어학과
화학생화학부
산업디자인과
생활체육과
서비스경영과
서비스경영학과
섬유패션디자인과
섬유패션디자인학과
세라믹디자인과
세라믹디자인학과
세무회계과
소프트웨어융합과
토목공학전공
토목신소재산업화학공학과군
토목지구시스템신소재산업화학공학과군
한문교육과
해양건설시스템공학과
행정.심리학부
행정경제학과군
행정부동산학과군
행정부동산학부
행정학전공
화공 생물공학부
컴퓨터 미디어 산업공학부 미디어공학전
컴퓨터 미디어 산업공학부 산업경영공학
컴퓨터 미디어 산업공학부 컴퓨터공학전
컴퓨터과학전공
컴퓨터정보통신공학전공
컴퓨터학부
토목공학과
지질학전공
철학과
철학전공
체육교육과
체육학부
축산가공학과
축산과학전공
축산식품과학과
축산식품과학전공
축산학과
컴퓨터 미디어 산업공학부
글로벌호텔관광학과
금융정보과
경영과
경찰정보학과
관광영어과
관광영어학과
관광중국어과
국제비서사무학과
글로벌IT비즈니스과
축구학과
항공보안과
항공산업경영과
호텔조리과
AI웹서비스과
IT융합비즈니스과
IT융합비즈니스학과
IT응용보안과
건축디자인과
산업보건관리과
소방안전과
스포츠레저과
식품영양과(3년제)
원예조경과
의료공학과
의약품질분석과
전기자동화과
축구과
미래자동차공학과
바이오백신제약과
바이오헴프과
반려동물케어과
보건의료행정과(3년제)
보건행정과
뷰티아트과
뷰티아트학과
사이버보안과
사회복지과
자동차계열
자동차공학과
건설정보과
건설정보학과
국방의료과
물리치료과
물리치료학과
보건학과
임상구강보건학과
임상치의학과
정보통신공학과
미래자동차공학부
미래자동차공학부(융합)
인공지능학과
재료공학과
전자공학과
정치외교학과
지능형반도체공학과
지식정보공학과
화학공학과
화학과
환경공학과
환경안전공학과
법학과
심리학과
약학과
에너지시스템학과
영어영문학과
우주전자정보공학과
융합의과학과
응용사회학과
응용생명공학과
의생명과학과
의약생명정보시스템협동과정
의용공학과
의학과
인공지능 데이터사이언스학과
바이오헬스규제과학과
분자과학기술학과
불어불문학과
비즈니스애널리틱스학과
사이버보안학과
사학과
산업공학과
소프트웨어특성화학과
스마트융합건축학과
시스템공학과
신경과학기술협동과정
신소재공학과
교통공학과
국방디지털융합학과
국어국문학과
글로벌경영학과
금융공학과
기계공학과
데이터사이언스학과
도시개발학과
디지털휴머니티융합학과
라이프미디어 협동과정
문화콘텐츠학과
물리학과
미디어학과
AI융합네트워크학과
D.N.A.플러스융합학과
NCW학과
건설교통공학과
건설시스템공학과
건축학과
경영정보학과
경제학과
과학기술정책학과
교육학과
교통ITS학과
철도시스템학과
국제개발협력학과
국제경영학과
국제통상학과
시민사회학과
융합에너지학과
글로벌제약임상약학과
비즈니스정보공학과
산업데이터시스템학과
